LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000323,3/6/2012,0.546,0.5677,0.908,20,0.235788063,11.354,0.138
MAC000323,3/7/2012,0.2195,0.3860625,1.475,48,0.348265453,18.531,0.054
MAC000323,3/8/2012,0.1695,0.290937498,1.086,48,0.262756366,13.9649999,0.056
MAC000323,3/9/2012,0.2605,0.4238125,1.587,48,0.402155027,20.343,0.068
MAC000323,3/10/2012,0.268,0.3738125,1.222,48,0.308452876,17.943,0.061
MAC000323,3/11/2012,0.1685,0.3988125,1.9400001,48,0.488094456,19.143,0.056
MAC000323,3/12/2012,0.2555,0.504812502,2.454,48,0.523787382,24.2310001,0.057
MAC000323,3/13/2012,0.192,0.2853125,0.915,48,0.218417729,13.695,0.072
MAC000323,3/14/2012,0.1225,0.124145833,0.27,48,0.047978271,5.959,0.061
MAC000323,3/15/2012,0.115,0.122,0.229,48,0.042320962,5.856,0.062
MAC000323,3/16/2012,0.112,0.122541667,0.242,48,0.043456977,5.882,0.061
MAC000323,3/17/2012,0.1195,0.122666667,0.243,48,0.045862112,5.888,0.06
MAC000323,3/18/2012,0.112,0.121208333,0.215,48,0.040892156,5.818,0.061
MAC000323,3/19/2012,0.109,0.118854167,0.229,48,0.041709221,5.705,0.06
MAC000323,3/20/2012,0.1235,0.15675,0.624,48,0.116098912,7.524,0.061
MAC000323,3/21/2012,0.1145,0.123020833,0.222,48,0.039705024,5.905,0.063
MAC000323,3/22/2012,0.116,0.123270833,0.254,48,0.044868953,5.917,0.062
MAC000323,3/23/2012,0.116,0.122333333,0.235,48,0.041044518,5.872,0.062
MAC000323,3/24/2012,0.112,0.121083333,0.206,48,0.034144769,5.812,0.07
MAC000323,3/25/2012,0.112,0.1194375,0.225,48,0.037976984,5.733,0.061
MAC000323,3/26/2012,0.1145,0.120479167,0.223,48,0.037649554,5.783,0.062
MAC000323,3/27/2012,0.125,0.164270833,0.68,48,0.131177765,7.885,0.062
MAC000323,3/28/2012,0.116,0.119416667,0.213,48,0.036450394,5.732,0.061
MAC000323,3/29/2012,0.109,0.117104167,0.173,48,0.030679704,5.621,0.071
MAC000323,3/30/2012,0.1115,0.117541667,0.192,48,0.033302583,5.642,0.062
MAC000323,3/31/2012,0.1125,0.119916667,0.224,48,0.03728375,5.756,0.06
MAC000323,4/1/2012,0.126,0.184645833,0.709,48,0.15725281,8.863,0.068
MAC000323,4/2/2012,0.169,0.31675,1.569,48,0.38819136,15.204,0.053
MAC000323,4/3/2012,0.199,0.244,1.3,48,0.202819278,11.712,0.06
MAC000323,4/4/2012,0.148,0.269520833,0.837,48,0.256330072,12.937,0.052
MAC000323,4/5/2012,0.149,0.267999998,1.4119999,48,0.300271855,12.8639999,0.064
MAC000323,4/6/2012,0.139,0.227020833,0.846,48,0.197091888,10.897,0.054
MAC000323,4/7/2012,0.152,0.2380625,0.779,48,0.17991504,11.427,0.061
MAC000323,4/8/2012,0.2355,0.283791669,1.2640001,48,0.240388432,13.6220001,0.064
MAC000323,4/9/2012,0.1595,0.233208333,0.924,48,0.218754595,11.194,0.071
MAC000323,4/10/2012,0.235,0.336562502,1.5420001,48,0.300240048,16.1550001,0.067
MAC000323,4/11/2012,0.219,0.285145833,1.243,48,0.238442998,13.687,0.068
MAC000323,4/12/2012,0.1895,0.2828125,0.789,48,0.196374659,13.575,0.07
MAC000323,4/13/2012,0.3835,0.4854375,2.023,48,0.374228847,23.301,0.077
MAC000323,4/14/2012,0.571,0.680395831,2.3929999,48,0.502997973,32.6589999,0.065
MAC000323,4/15/2012,0.355,0.377125,1.256,48,0.265928532,18.102,0.093
