LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000450,3/22/2012,1.434,1.503823518,2.6589999,17,0.566351725,25.5649998,0.678
MAC000450,3/23/2012,0.98,1.071145835,1.825,48,0.334324529,51.4150001,0.582
MAC000450,3/24/2012,1.3635,1.384833333,2.822,48,0.529211714,66.472,0.632
MAC000450,3/25/2012,1.11050005,1.237145835,2.848,48,0.511973026,59.3830001,0.598
MAC000450,3/26/2012,1.2365,1.245562492,2.197,48,0.382066319,59.7869996,0.553
MAC000450,3/27/2012,1.12799995,1.258624996,2.5940001,48,0.457750966,60.4139998,0.617
MAC000450,3/28/2012,0.961,1.086854165,2.642,48,0.524677245,52.1689999,0.559
MAC000450,3/29/2012,1.30550005,1.34870834,2.448,48,0.406006968,64.7380003,0.547
MAC000450,3/30/2012,1.091,1.200104171,2.3080001,48,0.403262508,57.6050002,0.619
MAC000450,3/31/2012,1.3185,1.485166677,2.8610001,48,0.632326704,71.2880005,0.71
MAC000450,4/1/2012,1.065,1.096395837,2.3299999,48,0.350045452,52.6270002,0.677
MAC000450,4/2/2012,1.044,1.325520819,3.6370001,48,0.67273357,63.6249993,0.54
MAC000450,4/3/2012,1.64,1.637395833,3.1819999,48,0.658779869,78.595,0.845
MAC000450,4/4/2012,1.16899995,1.470937504,2.757,48,0.560869679,70.6050002,0.747
MAC000450,4/5/2012,1.25200005,1.499604169,3.2809999,48,0.705348919,71.9810001,0.68
MAC000450,4/6/2012,1.04300005,1.027458335,2.2349999,48,0.431133975,49.3180001,0.51
MAC000450,4/7/2012,1.32,1.376145831,2.753,48,0.465854364,66.0549999,0.823
MAC000450,4/8/2012,1.0605,1.20091666,2.651,48,0.443268502,57.6439997,0.607
MAC000450,4/9/2012,1.87800005,1.789624998,2.911,48,0.680023382,85.9019999,0.861
MAC000450,4/10/2012,1.30850005,1.462062515,3.152,48,0.551546251,70.1790007,0.78
MAC000450,4/11/2012,2.18400005,2.022895837,3.747,48,0.865023635,97.0990002,0.678
MAC000450,4/12/2012,1.8505,1.96202084,3.753,48,0.789332088,94.1770003,0.974
MAC000450,4/13/2012,2.0575,2.0556875,3.895,48,0.872051076,98.673,0.867
MAC000450,4/14/2012,2.268,2.13881251,3.4809999,48,0.857644159,102.6630005,0.83
MAC000450,4/15/2012,2.3360001,2.163145848,4.2140002,48,0.90835443,103.8310007,0.809
MAC000450,4/16/2012,2.031,1.908145831,3.369,48,0.755048923,91.5909999,0.665
MAC000450,4/17/2012,2.13,2.101666677,3.7390001,48,0.820548116,100.8800005,0.882
MAC000450,4/18/2012,2.10650005,2.119999992,3.7909999,48,0.883938907,101.7599996,0.775
MAC000450,4/19/2012,2.1619999,2.062645821,4.1009998,48,0.852510064,99.0069994,0.803
MAC000450,4/20/2012,1.934,1.966874996,4.2919998,48,0.82307701,94.4099998,0.782
MAC000450,4/21/2012,2.08799995,1.946458323,4.0100002,48,0.883356115,93.4299995,0.654
MAC000450,4/22/2012,1.47850005,1.719312506,4.368,48,0.725646205,82.5270003,0.723
MAC000450,4/23/2012,1.753,1.701145829,2.6229999,48,0.545562951,81.6549998,0.845
MAC000450,4/24/2012,1.553,1.564479175,2.7019999,48,0.49739834,75.0950004,0.872
MAC000450,4/25/2012,1.42950005,1.505520831,2.7639999,48,0.563854167,72.2649999,0.759
MAC000450,4/26/2012,1.454,1.554020835,3.2449999,48,0.651926258,74.5930001,0.608
MAC000450,4/27/2012,1.3925,1.498895827,2.7920001,48,0.521355539,71.9469997,0.737
MAC000450,4/28/2012,1.6300001,1.77345834,3.7579999,48,0.799243515,85.1260003,0.701
MAC000450,4/29/2012,1.40599995,1.497645835,2.9590001,48,0.602370871,71.8870001,0.722
MAC000450,4/30/2012,1.4515,1.536020825,3.0409999,48,0.652559221,73.7289996,0.632
MAC000450,5/1/2012,1.4055,1.531395842,2.6689999,48,0.525577076,73.5070004,0.866
MAC000450,5/2/2012,1.633,1.487104162,2.2520001,48,0.404557346,71.3809998,0.784
MAC000450,5/3/2012,1.2105,1.405020837,3.1210001,48,0.62139132,67.4410002,0.701
MAC000450,5/4/2012,1.18950005,1.391125004,2.7219999,48,0.534206213,66.7740002,0.789
MAC000450,5/5/2012,1.14,1.371395827,2.872,48,0.552646964,65.8269997,0.596
MAC000450,5/6/2012,1.05,1.36000001,3.3410001,48,0.70065873,65.2800005,0.573
MAC000450,5/7/2012,1.406,1.685145838,3.2079999,48,0.827317733,80.8870002,0.764
MAC000450,5/8/2012,1.426,1.409958338,2.095,48,0.356726609,67.6780002,0.849
MAC000450,5/9/2012,1.056,1.226583338,2.0940001,48,0.434172433,58.8760002,0.618
