LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000246,12/3/2011,0.115,0.300233333,1.179,30,0.361230911,9.007,0.047
MAC000246,12/4/2011,0.175,0.432562504,1.914,48,0.484151596,20.7630002,0.026
MAC000246,12/5/2011,0.078,0.125416667,0.934,48,0.153326773,6.02,0.025
MAC000246,12/6/2011,0.114,0.277541669,1.216,48,0.313398668,13.3220001,0.027
MAC000246,12/7/2011,0.1035,0.188791667,0.873,48,0.209613013,9.062,0.026
MAC000246,12/8/2011,0.089,0.284666665,1.6569999,48,0.366332148,13.6639999,0.025
MAC000246,12/9/2011,0.1035,0.246166669,1.29,48,0.30455698,11.8160001,0.05
MAC000246,12/10/2011,0.1205,0.338708331,1.1799999,48,0.336390786,16.2579999,0.054
MAC000246,12/11/2011,0.106,0.2265,1.278,48,0.294077787,10.872,0.026
MAC000246,12/12/2011,0.076,0.204854171,1.104,48,0.290425012,9.8330002,0.031
MAC000246,12/13/2011,0.0845,0.162895833,0.987,48,0.201235465,7.819,0.027
MAC000246,12/14/2011,0.0765,0.1568125,1.034,48,0.214830924,7.527,0.037
MAC000246,12/15/2011,0.113,0.289708333,1.15,48,0.312983241,13.906,0.045
MAC000246,12/16/2011,0.083,0.221020833,1.01,48,0.256611594,10.609,0.041
MAC000246,12/17/2011,0.2145,0.416416669,1.405,48,0.412983175,19.9880001,0.073
MAC000246,12/18/2011,0.314,0.4491875,1.35,48,0.416506885,21.561,0.026
MAC000246,12/19/2011,0.0725,0.124020833,0.462,48,0.123763242,5.953,0.041
MAC000246,12/20/2011,0.11,0.249375,1.104,48,0.270798003,11.97,0.027
MAC000246,12/21/2011,0.077,0.166395833,0.948,48,0.227689107,7.987,0.033
MAC000246,12/22/2011,0.084,0.194979167,1.266,48,0.250662398,9.359,0.043
MAC000246,12/23/2011,0.0795,0.272958333,1.192,48,0.327438476,13.102,0.032
MAC000246,12/24/2011,0.1095,0.234208333,1.24,48,0.268966498,11.242,0.051
MAC000246,12/25/2011,0.0805,0.082041667,0.218,48,0.026271057,3.938,0.045
MAC000246,12/26/2011,0.1185,0.397333335,1.5650001,48,0.459234444,19.0720001,0.048
MAC000246,12/27/2011,0.083,0.14325,1.057,48,0.193831743,6.876,0.032
MAC000246,12/28/2011,0.075,0.177791667,0.939,48,0.232120288,8.534,0.037
MAC000246,12/29/2011,0.1125,0.276875,1.072,48,0.28794153,13.29,0.03
MAC000246,12/30/2011,0.1015,0.352270833,1.636,48,0.407255983,16.909,0.049
MAC000246,12/31/2011,0.1315,0.381812498,1.3,48,0.407938751,18.3269999,0.049
MAC000246,1/1/2012,0.284,0.469916665,1.6339999,48,0.451876735,22.5559999,0.054
MAC000246,1/2/2012,0.105,0.2134375,0.926,48,0.241704841,10.245,0.026
MAC000246,1/3/2012,0.0945,0.210375,1.365,48,0.274691674,10.098,0.038
MAC000246,1/4/2012,0.0905,0.139,0.926,48,0.148163653,6.672,0.045
MAC000246,1/5/2012,0.117,0.258166667,1.4579999,48,0.339219023,12.392,0.06
MAC000246,1/6/2012,0.076,0.201770833,0.95,48,0.275218153,9.685,0.04
MAC000246,1/7/2012,0.1005,0.267770833,1.034,48,0.292737501,12.853,0.038
MAC000246,1/8/2012,0.096,0.214520833,1.045,48,0.245333034,10.297,0.046
MAC000246,1/9/2012,0.075,0.2085,1.416,48,0.314889308,10.008,0.031
MAC000246,1/10/2012,0.098,0.219291667,1.073,48,0.258150621,10.526,0.028
MAC000246,1/11/2012,0.071,0.1835,1.204,48,0.252806881,8.808,0.035
MAC000246,1/12/2012,0.0985,0.246104167,1.377,48,0.325767848,11.813,0.039
MAC000246,1/13/2012,0.088,0.197125,0.957,48,0.264740469,9.462,0.041
MAC000246,1/14/2012,0.295,0.467749998,1.846,48,0.449169893,22.4519999,0.027
MAC000246,1/15/2012,0.1565,0.344770831,1.651,48,0.366320877,16.5489999,0.044
MAC000246,1/16/2012,0.09,0.142854167,0.902,48,0.165391604,6.857,0.038
MAC000246,1/17/2012,0.1495,0.305229167,1.163,48,0.31154278,14.651,0.039
MAC000246,1/18/2012,0.0675,0.093479167,0.449,48,0.079564771,4.487,0.033
MAC000246,1/19/2012,0.102,0.282562498,1.095,48,0.309641991,13.5629999,0.035
MAC000246,1/20/2012,0.0745,0.185979167,1.039,48,0.254779629,8.927,0.04
MAC000246,1/21/2012,0.5725,0.6091875,1.336,48,0.419198965,29.241,0.071
MAC000246,1/22/2012,0.187,0.3971875,1.656,48,0.421364837,19.065,0.054
MAC000246,1/23/2012,0.0885,0.285125,1.65,48,0.397613232,13.686,0.033
MAC000246,1/24/2012,0.1015,0.177958331,1.2589999,48,0.228485378,8.5419999,0.039
MAC000246,1/25/2012,0.099,0.240291667,1.155,48,0.299395487,11.534,0.027
MAC000246,1/26/2012,0.094,0.277437498,1.867,48,0.390390357,13.3169999,0.031
MAC000246,1/27/2012,0.0735,0.185291667,1.177,48,0.249087352,8.894,0.038
MAC000246,1/28/2012,0.1335,0.345249996,1.9809999,48,0.434981643,16.5719998,0.048
