LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC001074,5/8/2012,0.228,0.373222219,1.6619999,27,0.369933487,10.0769999,0.074
MAC001074,5/9/2012,0.2225,0.568062506,3.5150001,48,0.777467004,27.2670003,0.086
MAC001074,5/10/2012,0.2345,0.400395831,1.781,48,0.410944249,19.2189999,0.077
MAC001074,5/11/2012,0.291,0.4080625,1.789,48,0.37706918,19.587,0.077
MAC001074,5/12/2012,0.315,0.629687498,2.9779999,48,0.606278916,30.2249999,0.111
MAC001074,5/13/2012,0.2565,0.448354167,3.365,48,0.554440584,21.521,0.067
MAC001074,5/14/2012,0.3245,0.507625,1.821,48,0.444444267,24.366,0.052
MAC001074,5/15/2012,0.29,0.515666669,2.0580001,48,0.516355374,24.7520001,0.065
MAC001074,5/16/2012,0.196,0.196,0.196,1,,0.196,0.196
MAC001074,5/17/2012,0.247,0.422808513,2.5,47,0.465299375,19.8720001,0.1
MAC001074,5/18/2012,0.2805,0.488854167,2.3280001,48,0.50485288,23.465,0.087
MAC001074,5/19/2012,0.3195,0.488812498,2.737,48,0.502817912,23.4629999,0.092
MAC001074,5/20/2012,0.295,0.663083331,2.684,48,0.736613518,31.8279999,0.084
MAC001074,5/21/2012,0.271,0.496625002,1.85,48,0.507264995,23.8380001,0.085
MAC001074,5/22/2012,0.2305,0.440208335,1.881,48,0.461601883,21.1300001,0.088
MAC001074,5/23/2012,0.264,0.5344375,2.4660001,48,0.548786634,25.653,0.081
MAC001074,5/24/2012,0.217,0.503083335,2.934,48,0.553251507,24.1480001,0.051
MAC001074,5/25/2012,0.181,0.306874998,1.867,48,0.348643055,14.7299999,0.039
MAC001074,5/26/2012,0.229,0.434979167,2.464,48,0.477284851,20.879,0.056
MAC001074,5/27/2012,0.2325,0.363604167,1.595,48,0.335308225,17.453,0.077
MAC001074,5/28/2012,0.2365,0.367437502,1.308,48,0.338088555,17.6370001,0.053
MAC001074,5/29/2012,0.2055,0.335979169,2.0810001,48,0.367248693,16.1270001,0.071
MAC001074,5/30/2012,0.218,0.418333333,2.3469999,48,0.512690622,20.08,0.054
MAC001074,5/31/2012,0.2255,0.414604169,1.901,48,0.455316672,19.9010001,0.059
MAC001074,6/1/2012,0.311,0.612666658,3.0079999,48,0.589814643,29.4079996,0.083
MAC001074,6/2/2012,0.218,0.404020835,1.9450001,48,0.423071778,19.3930001,0.088
MAC001074,6/3/2012,0.474,0.699479167,2.8699999,48,0.609118546,33.575,0.103
MAC001074,6/4/2012,0.2565,0.488812498,2.1459999,48,0.527059264,23.4629999,0.074
MAC001074,6/5/2012,0.2895,0.568666667,2.641,48,0.57684672,27.296,0.083
MAC001074,6/6/2012,0.3535,0.629479167,2.918,48,0.637623182,30.215,0.107
MAC001074,6/7/2012,0.197,0.389104165,2.1429999,48,0.471390747,18.6769999,0.058
MAC001074,6/8/2012,0.2685,0.445854167,1.704,48,0.414475828,21.401,0.087
MAC001074,6/9/2012,0.222,0.515104167,2.142,48,0.564076473,24.725,0.068
MAC001074,6/10/2012,0.2745,0.481354171,2.0220001,48,0.527485838,23.1050002,0.075
MAC001074,6/11/2012,0.222,0.438500004,2.5050001,48,0.532150406,21.0480002,0.055
MAC001074,6/12/2012,0.208,0.412145838,2.2850001,48,0.49964623,19.7830002,0.079
MAC001074,6/13/2012,0.271,0.594833335,3.5639999,48,0.698913726,28.5520001,0.123
MAC001074,6/14/2012,0.204,0.392791667,1.84,48,0.418713885,18.854,0.066
MAC001074,6/15/2012,0.219,0.338562498,1.9809999,48,0.338965431,16.2509999,0.077
MAC001074,6/16/2012,0.237,0.49391666,2.7679999,48,0.564355495,23.7079997,0.095
MAC001074,6/17/2012,0.2745,0.511020831,1.914,48,0.50322075,24.5289999,0.072
MAC001074,6/18/2012,0.2265,0.44960416,3.3139999,48,0.601149119,21.5809997,0.081
MAC001074,6/19/2012,0.2085,0.313729167,2.277,48,0.357518084,15.059,0.047
MAC001074,6/20/2012,0.2125,0.456874998,2.9289999,48,0.620887401,21.9299999,0.059
