LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC003252,9/19/2012,0.159,0.182319149,0.45,47,0.099505103,8.569,0.049
MAC003252,9/20/2012,0.1675,0.222104167,0.971,48,0.156379277,10.661,0.052
MAC003252,9/21/2012,0.174,0.2928125,0.997,48,0.251519438,14.055,0.049
MAC003252,9/22/2012,0.2345,0.326,1.204,48,0.290059788,15.648,0.052
MAC003252,9/23/2012,0.1665,0.181270833,0.379,48,0.071862676,8.701,0.078
MAC003252,9/24/2012,0.112,0.112,0.112,1,,0.112,0.112
MAC003252,9/25/2012,0.18,0.248744681,1.039,47,0.205780853,11.691,0.053
MAC003252,9/26/2012,0.161,0.25825,1.227,48,0.254877568,12.396,0.066
MAC003252,9/27/2012,0.145,0.231625002,2.0840001,48,0.316158175,11.1180001,0.049
MAC003252,9/28/2012,0.155,0.2371875,0.848,48,0.207343856,11.385,0.053
MAC003252,9/29/2012,0.2255,0.302375,1.202,48,0.262935849,14.514,0.049
MAC003252,9/30/2012,0.17,0.255458333,1.135,48,0.236686071,12.262,0.062
MAC003252,10/1/2012,0.164,0.284625,1.4859999,48,0.297141314,13.662,0.066
MAC003252,10/2/2012,0.14,0.2395,1.603,48,0.255113075,11.496,0.057
MAC003252,10/3/2012,0.146,0.156125,0.468,48,0.076526904,7.494,0.051
MAC003252,10/4/2012,0.1635,0.244708333,1.541,48,0.233932429,11.746,0.045
MAC003252,10/5/2012,0.174,0.232541667,1.001,48,0.216049242,11.162,0.05
MAC003252,10/6/2012,0.1715,0.224979167,0.996,48,0.170072636,10.799,0.048
MAC003252,10/7/2012,0.2215,0.362833335,2.0840001,48,0.398493199,17.4160001,0.053
MAC003252,10/8/2012,0.1585,0.229875,1.097,48,0.209491037,11.034,0.062
MAC003252,10/9/2012,0.185,0.276729167,1.077,48,0.236326023,13.283,0.056
MAC003252,10/10/2012,0.1705,0.242583333,0.947,48,0.187405333,11.644,0.08
MAC003252,10/11/2012,0.1915,0.238208333,0.869,48,0.183430427,11.434,0.051
