LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000002,10/12/2012,0.1385,0.154304348,0.886,46,0.196033883,7.098,0
MAC000002,10/13/2012,0.18,0.230979167,0.933,48,0.192329006,11.087,0.076
MAC000002,10/14/2012,0.158,0.275479167,1.085,48,0.274647239,13.223,0.07
MAC000002,10/15/2012,0.131,0.2136875,1.164,48,0.224483441,10.257,0.07
MAC000002,10/16/2012,0.145,0.203520833,0.991,48,0.184115249,9.769,0.087
MAC000002,10/17/2012,0.148,0.226770833,0.784,48,0.18440857,10.885,0.067
MAC000002,10/18/2012,0.166,0.223979167,0.897,48,0.174245301,10.751,0.102
MAC000002,10/19/2012,0.134,0.175645833,0.822,48,0.1222299,8.431,0.072
MAC000002,10/20/2012,0.231,0.362041665,1.4529999,48,0.294921544,17.3779999,0.073
MAC000002,10/21/2012,0.385,0.510208335,2.1600001,48,0.335519231,24.4900001,0.232
MAC000002,10/22/2012,0.3935,0.3934375,1.126,48,0.199881551,18.885,0.094
MAC000002,10/23/2012,0.1615,0.2184375,0.671,48,0.150725749,10.485,0.07
MAC000002,10/24/2012,0.186,0.323687502,1.8890001,48,0.329606039,15.5370001,0.076
MAC000002,10/25/2012,0.176,0.2735,0.917,48,0.205546392,13.128,0.073
MAC000002,10/26/2012,0.1885,0.313854167,0.962,48,0.255195294,15.065,0.072
MAC000002,10/27/2012,0.319,0.351791667,1.228,48,0.25632567,16.886,0.075
MAC000002,10/28/2012,0.313,0.408937498,1.173,48,0.320672587,19.6289999,0.072
MAC000002,10/29/2012,0.1755,0.266229167,1.058,48,0.248811835,12.779,0.073
MAC000002,10/30/2012,0.2275,0.290854167,0.893,48,0.225779029,13.961,0.07
MAC000002,10/31/2012,0.2685,0.371291669,1.4450001,48,0.318377473,17.8220001,0.085
MAC000002,11/1/2012,0.205,0.254354167,0.964,48,0.155681274,12.209,0.127
MAC000002,11/2/2012,0.26,0.309659574,1.284,47,0.211134747,14.554,0.136
MAC000002,11/3/2012,0.2665,0.298895833,1.137,48,0.184763591,14.347,0.139
MAC000002,11/4/2012,0.2675,0.302229165,1.1109999,48,0.203540697,14.5069999,0.127
