LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000103,12/13/2011,0.8025,0.845933333,2.1029999,30,0.484856035,25.378,0.194
MAC000103,12/14/2011,0.503,0.592041669,1.602,48,0.314993821,28.4180001,0.206
MAC000103,12/15/2011,0.4945,0.534270833,1.426,48,0.231213794,25.645,0.179
MAC000103,12/16/2011,0.57,0.688458331,1.651,48,0.371756091,33.0459999,0.171
MAC000103,12/17/2011,0.6265,0.737125002,1.3200001,48,0.232896076,35.3820001,0.503
MAC000103,12/18/2011,0.6905,0.97275,2.668,48,0.556852646,46.692,0.363
MAC000103,12/19/2011,0.588,0.603395833,1.488,48,0.254845113,28.963,0.233
MAC000103,12/20/2011,0.5475,0.633958333,1.556,48,0.325237913,30.43,0.222
MAC000103,12/21/2011,0.535,0.605895833,1.335,48,0.284099266,29.083,0.173
MAC000103,12/22/2011,0.619,0.845895833,2.9519999,48,0.638419361,40.603,0.196
MAC000103,12/23/2011,0.518,0.551666667,1.265,48,0.22822836,26.48,0.216
MAC000103,12/24/2011,0.601,0.707583331,1.753,48,0.286892359,33.9639999,0.224
MAC000103,12/25/2011,1.029,1.066791673,2.9200001,48,0.608588576,51.2060003,0.407
MAC000103,12/26/2011,0.583,0.73339584,2.2460001,48,0.480544995,35.2030003,0.231
MAC000103,12/27/2011,0.535,0.593104167,1.413,48,0.309957048,28.469,0.214
MAC000103,12/28/2011,0.554,0.575916667,1.045,48,0.222338426,27.644,0.192
MAC000103,12/29/2011,0.63,0.859458338,3.0280001,48,0.566113981,41.2540002,0.225
MAC000103,12/30/2011,0.5355,0.62235416,1.669,48,0.334837867,29.8729997,0.211
MAC000103,12/31/2011,0.5255,0.647416667,1.676,48,0.309644947,31.076,0.271
MAC000103,1/1/2012,0.5425,0.637041667,1.314,48,0.268358204,30.578,0.257
MAC000103,1/2/2012,0.548,0.602791667,1.793,48,0.289703881,28.934,0.225
MAC000103,1/3/2012,0.5175,0.640833329,2.5929999,48,0.519196554,30.7599998,0.174
MAC000103,1/4/2012,0.5455,0.624250002,2.2130001,48,0.36279111,29.9640001,0.229
MAC000103,1/5/2012,0.5245,0.592833333,1.232,48,0.285980608,28.456,0.187
MAC000103,1/6/2012,0.52,0.560333333,1.312,48,0.258993907,26.896,0.192
MAC000103,1/7/2012,0.588,0.674249998,1.814,48,0.287517211,32.3639999,0.288
MAC000103,1/8/2012,0.5965,0.766354167,2.171,48,0.408775363,36.785,0.421
MAC000103,1/9/2012,0.5255,0.5100625,1.832,48,0.295353334,24.483,0.144
MAC000103,1/10/2012,0.547,0.627416669,1.4400001,48,0.262643186,30.1160001,0.199
MAC000103,1/11/2012,0.4835,0.575020833,1.698,48,0.340645413,27.601,0.157
MAC000103,1/12/2012,0.533,0.601958338,1.494,48,0.328040934,28.8940002,0.173
MAC000103,1/13/2012,0.5455,0.637375,2.395,48,0.344244323,30.594,0.211
MAC000103,1/14/2012,0.6645,0.779562496,2.2869999,48,0.326099496,37.4189998,0.359
MAC000103,1/15/2012,0.6755,0.779166667,2.7750001,48,0.413882988,37.4,0.241
MAC000103,1/16/2012,0.6315,0.731270833,1.902,48,0.390672782,35.101,0.23
MAC000103,1/17/2012,0.667,0.829479167,2.539,48,0.468245343,39.815,0.3
MAC000103,1/18/2012,0.5245,0.601895833,1.972,48,0.2919157,28.891,0.225
MAC000103,1/19/2012,0.5655,0.626874998,1.352,48,0.268592833,30.0899999,0.199
MAC000103,1/20/2012,0.5085,0.554208333,1.681,48,0.323561034,26.602,0.193
MAC000103,1/21/2012,0.54,0.747,2.595,48,0.493618942,35.856,0.195
MAC000103,1/22/2012,0.6675,0.847999998,2.902,48,0.509834184,40.7039999,0.205
MAC000103,1/23/2012,0.601,0.651895831,1.492,48,0.302429043,31.2909999,0.191
MAC000103,1/24/2012,0.555,0.613104165,1.84,48,0.330006329,29.4289999,0.241
MAC000103,1/25/2012,0.4955,0.510812504,1.2410001,48,0.259283611,24.5190002,0.16
MAC000103,1/26/2012,0.456,0.488187498,1.318,48,0.309221368,23.4329999,0.166
MAC000103,1/27/2012,0.514,0.553833333,1.433,48,0.317230323,26.584,0.168
MAC000103,1/28/2012,0.6025,0.679333331,1.58,48,0.336523736,32.6079999,0.212
MAC000103,1/29/2012,0.645,0.843458329,3.016,48,0.544731863,40.4859998,0.197
MAC000103,1/30/2012,0.5615,0.605687502,1.9220001,48,0.327042146,29.0730001,0.223
MAC000103,1/31/2012,0.565,0.59225,1.71,48,0.307352075,28.428,0.247
MAC000103,2/1/2012,0.5665,0.614375002,1.789,48,0.328996907,29.4900001,0.236
MAC000103,2/2/2012,0.592,0.641937498,2.1719999,48,0.368304757,30.8129999,0.228
MAC000103,2/3/2012,0.5575,0.591312502,1.266,48,0.292299992,28.3830001,0.194
MAC000103,2/4/2012,0.631,0.782041669,1.973,48,0.342480937,37.5380001,0.361
MAC000103,2/5/2012,0.6355,0.810666669,2.3870001,48,0.424380823,38.9120001,0.529
MAC000103,2/6/2012,0.628,0.684520831,2.2780001,48,0.339512106,32.8569999,0.279
MAC000103,2/7/2012,0.577,0.637375002,1.344,48,0.285701724,30.5940001,0.209
MAC000103,2/8/2012,0.596,0.707520831,1.993,48,0.383224109,33.9609999,0.28
MAC000103,2/9/2012,0.567,0.573395833,1.227,48,0.220193797,27.523,0.262
MAC000103,2/10/2012,0.603,0.726354165,2.6889999,48,0.466956296,34.8649999,0.238
MAC000103,2/11/2012,0.673,0.748499998,1.5549999,48,0.326470873,35.9279999,0.232
MAC000103,2/12/2012,0.599,0.680187498,1.324,48,0.234074058,32.6489999,0.295
MAC000103,2/13/2012,0.549,0.639791667,2.3210001,48,0.382530046,30.71,0.254
MAC000103,2/14/2012,0.4765,0.493541667,1.268,48,0.244092323,23.69,0.188
MAC000103,2/15/2012,0.501,0.575708333,2.128,48,0.393750324,27.634,0.192
MAC000103,2/16/2012,0.476,0.483479169,1.0140001,48,0.233780679,23.2070001,0.175
MAC000103,2/17/2012,0.564,0.618375,1.825,48,0.318312079,29.682,0.187
MAC000103,2/18/2012,0.555,0.6604375,1.663,48,0.358923088,31.701,0.17
MAC000103,2/19/2012,0.731,0.847479173,2.7190001,48,0.497064805,40.6790003,0.253
