LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000030,12/7/2011,0.165,0.18008,0.578,25,0.115534237,4.502,0.048
MAC000030,12/8/2011,0.126,0.318979169,1.472,48,0.349603033,15.3110001,0.045
MAC000030,12/9/2011,0.1075,0.149479167,0.408,48,0.09626824,7.175,0.046
MAC000030,12/10/2011,0.1895,0.443333333,1.909,48,0.479836822,21.28,0.046
MAC000030,12/11/2011,0.2045,0.566500004,2.3940001,48,0.679804549,27.1920002,0.047
MAC000030,12/12/2011,0.1255,0.143125,0.357,48,0.086749241,6.87,0.047
MAC000030,12/13/2011,0.1045,0.1288125,0.371,48,0.076560824,6.183,0.046
MAC000030,12/14/2011,0.116,0.170416667,1.003,48,0.170090068,8.18,0.046
MAC000030,12/15/2011,0.1555,0.232479167,1.227,48,0.233965445,11.159,0.047
MAC000030,12/16/2011,0.119,0.142166667,0.364,48,0.078008819,6.824,0.046
MAC000030,12/17/2011,0.176,0.355604167,1.313,48,0.361907167,17.069,0.047
MAC000030,12/18/2011,0.224,0.585104167,2.7639999,48,0.65716176,28.085,0.048
MAC000030,12/19/2011,0.125,0.1630625,0.44,48,0.104379098,7.827,0.046
MAC000030,12/20/2011,0.102,0.136833333,0.487,48,0.112688109,6.568,0.045
MAC000030,12/21/2011,0.1405,0.256,0.935,48,0.227575847,12.288,0.046
MAC000030,12/22/2011,0.129,0.1649375,0.456,48,0.108856417,7.917,0.046
MAC000030,12/23/2011,0.122,0.313166669,1.309,48,0.350714919,15.0320001,0.047
MAC000030,12/24/2011,0.4265,0.434,1.437,48,0.350195568,20.832,0.052
MAC000030,12/25/2011,0.8515,0.950520827,4.0939999,48,0.912388511,45.6249997,0.053
MAC000030,12/26/2011,0.584,0.751687506,2.938,48,0.653402042,36.0810003,0.073
MAC000030,12/27/2011,0.289,0.393749998,1.477,48,0.32262866,18.8999999,0.06
MAC000030,12/28/2011,0.565,0.764875002,2.4619999,48,0.665324003,36.7140001,0.054
MAC000030,12/29/2011,0.319,0.3989375,1.255,48,0.307032912,19.149,0.056
MAC000030,12/30/2011,0.257,0.4745,1.814,48,0.469512332,22.776,0.053
MAC000030,12/31/2011,0.208,0.286604167,0.824,48,0.212678135,13.757,0.05
MAC000030,1/1/2012,0.366,0.380104167,0.823,48,0.217930619,18.245,0.057
MAC000030,1/2/2012,0.381,0.552437504,2.1500001,48,0.51731949,26.5170002,0.055
MAC000030,1/3/2012,0.184,0.4183125,2.105,48,0.52906156,20.079,0.064
MAC000030,1/4/2012,0.138,0.442770827,2.529,48,0.638622317,21.2529997,0.05
MAC000030,1/5/2012,0.2745,0.4695625,1.842,48,0.489080201,22.539,0.049
MAC000030,1/6/2012,0.137,0.281541667,1.281,48,0.326520271,13.514,0.048
MAC000030,1/7/2012,0.117,0.17,1.077,48,0.166512411,8.16,0.049
MAC000030,1/8/2012,0.1605,0.324083335,1.59,48,0.375784283,15.5560001,0.047
MAC000030,1/9/2012,0.127,0.256437498,2.2149999,48,0.349088095,12.3089999,0.048
MAC000030,1/10/2012,0.1055,0.129625,0.283,48,0.065470027,6.222,0.049
MAC000030,1/11/2012,0.1065,0.1434375,0.38,48,0.087827662,6.885,0.046
MAC000030,1/12/2012,0.22,0.346541667,1.266,48,0.349734912,16.634,0.046
MAC000030,1/13/2012,0.1175,0.1855,0.428,48,0.131577014,8.904,0.046
MAC000030,1/14/2012,0.2835,0.466479165,3.227,48,0.555570971,22.3909999,0.046
MAC000030,1/15/2012,0.2625,0.464208335,2.4920001,48,0.54055323,22.2820001,0.047
MAC000030,1/16/2012,0.1325,0.191395833,0.878,48,0.182741736,9.187,0.046
MAC000030,1/17/2012,0.1265,0.151625,0.786,48,0.117426052,7.278,0.047
MAC000030,1/18/2012,0.132,0.164708333,0.565,48,0.119354462,7.906,0.046
MAC000030,1/19/2012,0.126,0.1585,0.66,48,0.117256946,7.608,0.045
MAC000030,1/20/2012,0.129,0.186729167,0.981,48,0.188320318,8.963,0.046
MAC000030,1/21/2012,0.1145,0.217791667,1.018,48,0.248634908,10.454,0.044
MAC000030,1/22/2012,0.172,0.405125,1.694,48,0.436017256,19.446,0.046
MAC000030,1/23/2012,0.125,0.229395833,0.921,48,0.223152151,11.011,0.048
MAC000030,1/24/2012,0.1215,0.159520833,0.475,48,0.103454171,7.657,0.046
MAC000030,1/25/2012,0.13,0.169604167,0.708,48,0.127077919,8.141,0.047
MAC000030,1/26/2012,0.1395,0.219458333,1.03,48,0.24181943,10.534,0.046
MAC000030,1/27/2012,0.1265,0.137875,0.367,48,0.072841894,6.618,0.048
MAC000030,1/28/2012,0.1395,0.300083333,1.321,48,0.316908728,14.404,0.046
MAC000030,1/29/2012,0.306,0.543854169,1.837,48,0.554770534,26.1050001,0.047
MAC000030,1/30/2012,0.1195,0.23675,1.794,48,0.358501165,11.364,0.047
MAC000030,1/31/2012,0.123,0.1725,0.679,48,0.140699771,8.28,0.047
MAC000030,2/1/2012,0.153,0.152104167,0.366,48,0.078534242,7.301,0.047
MAC000030,2/2/2012,0.1695,0.253166667,1.061,48,0.234790475,12.152,0.046
MAC000030,2/3/2012,0.217,0.371770833,1.215,48,0.321900027,17.845,0.048
MAC000030,2/4/2012,0.2075,0.321458335,1.12,48,0.265645743,15.4300001,0.048
MAC000030,2/5/2012,0.286,0.468458335,1.839,48,0.488358345,22.4860001,0.048
MAC000030,2/6/2012,0.1195,0.146333333,0.361,48,0.088749069,7.024,0.047
MAC000030,2/7/2012,0.146,0.185208333,0.844,48,0.136948035,8.89,0.046
MAC000030,2/8/2012,0.1595,0.171270833,0.402,48,0.077520276,8.221,0.046
MAC000030,2/9/2012,0.151,0.169375,0.467,48,0.100591786,8.13,0.047
MAC000030,2/10/2012,0.1655,0.301562498,1.251,48,0.331103624,14.4749999,0.047
MAC000030,2/11/2012,0.1795,0.284,1.211,48,0.26513762,13.632,0.061
MAC000030,2/12/2012,0.293,0.57183334,2.5120001,48,0.638739878,27.4480003,0.092
